,x,y,time,displacement,speed,acceleration,angles
585,-59.59297417301804,165.8173884502893,11.7,2.157131755892915,107.85658779464805,579.5398268841569,75.25059278164967
586,-58.888105914717855,167.16110699645367,11.72,1.517372331652736,75.86861658263169,-1599.3985606007102,62.32005105621602
587,-58.47607056227681,168.97228923446932,11.74,1.8574590792167085,92.8729539608374,850.216868910304,77.1836112216866
588,-58.395642538026685,170.91087638585583,11.76,1.9402548313573806,97.0127415678711,206.98938035168922,87.62427749511
589,-57.4796529525331,172.85333964388667,11.78,2.147603415328933,107.38017076644894,518.3714599289029,64.75327111801656
590,-56.698029322571344,174.523092177546,11.8,1.8436401553926842,92.18200776962799,-759.9081498409964,64.91535506650206
591,-55.484963899907136,176.3027972998863,11.82,2.153805479180457,107.69027395902513,775.4133094698739,55.72125293747219
592,-54.67439292839319,177.88470046773367,11.84,1.7774821890265495,88.87410945132937,-940.808225384808,62.86928960302329
593,-53.93654527721405,179.93549694681076,11.86,2.179491994696372,108.97459973482093,1005.0245141745991,70.21198414860443
594,-54.01870319287397,182.0713846205688,11.88,2.137467210980592,106.8733605490224,-105.06195928991959,87.79717711343285
595,-54.804487523851414,183.7849441634005,11.9,1.885137480832423,94.25687404162316,-630.824325369975,65.36530397415243
596,-55.2377094315026,185.6654472076092,11.92,1.9297598090298962,96.48799045149687,111.5558204936877,77.02680126323655
597,-55.16754360239855,187.61252993990269,11.94,1.9483465836368439,97.41732918184427,46.466936517370804,87.93616012297706
598,-54.54692876493161,189.41895927492186,11.96,1.9100653703216393,95.50326851607552,-95.70303328843075,71.03938598303694
599,-53.25413609058078,190.7731938046458,11.98,1.8722350440988502,93.61175220494451,-94.5758155565527,46.329690516090864
600,-51.00211554627795,190.6315110370893,12.0,2.256473030768259,112.82365153841535,960.5949666735625,3.599940304311663
601,-48.99112099536103,191.12151456764371,12.02,2.069831525456441,103.49157627282425,-466.603763279565,13.693973148202481
602,-46.956065137240266,191.53234231712003,12.04,2.0761097720042185,103.80548860021314,15.695616369444899,11.413215751538855
603,-45.28387380724945,191.6892537526845,12.06,1.6795371513328778,83.97685756663823,-991.4315516786785,5.360698978912653
604,-43.81504718739473,190.3606739282162,12.08,1.9805494159899342,99.02747079949881,752.5306616430453,42.12990322519783
605,-43.62799671546966,188.16462329196892,12.1,2.2040023312168717,110.20011656084594,558.6322880673682,85.13153423815298
606,-45.48230706717184,187.38489797734945,12.12,2.0115761100908593,100.57880550454512,-481.06555281505155,22.806433532974683
607,-47.253019609911604,186.74541800637147,12.14,1.882646419882909,94.13232099413909,-322.3242255202794,19.856817260186745
608,-48.78150600510638,185.50640075707486,12.16,1.9675960978691878,98.37980489346148,212.374194966124,39.02881671173988
609,-49.98034518879614,183.72539529148688,12.18,2.14690378377891,107.34518918894777,448.269214774324,56.054519923952995
610,-51.133341125843494,182.14905019440275,12.2,1.9530139518059952,97.65069759030185,-484.7245799323066,53.8169095333485
611,-52.575803561418226,181.53933559514502,12.22,1.566029939238775,78.30149696193347,-967.4600314183537,22.91329959405022
